	ModName	FuncName	CodeLine	TotalTime	AvgTime	PctTime	Hits	PctHits	LineText	
188	C:\IG\IG\PRE\FE.frm	LlenarC	16	0	0	0.00%	0	0.00%	Combo1.AddItem (I)	
189	C:\IG\IG\PRE\FE.frm	LlenarC	17	0	0	0.00%	0	0.00%	Combo1.ListIndex = 0	
190	C:\IG\IG\PRE\FE.frm	Check1_Click	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
191	C:\IG\IG\PRE\FE.frm	Check1_Click	2	0	0	0.00%	0	0.00%	Frame1.Enabled = (Check1 = vbChecked)	
192	C:\IG\IG\PRE\FE.frm	Check1_Click	3	0	0	0.00%	0	0.00%	Frame2.Enabled = (Check1 = vbChecked)	
193	C:\IG\IG\PRE\FCF.frm	Check2_Click	2	0	0	0.00%	0	0.00%	Case 0	
194	C:\IG\IG\PRE\FE.frm	Check1_Click	5	0	0	0.00%	0	0.00%	Command1.Enabled = (Check1 = vbChecked)	
195	C:\IG\IG\PRE\FCF.frm	Check2_Click	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
196	C:\IG\IG\PRE\FE.frm	Combo1_Change	2	0	0	0.00%	0	0.00%	Combo1.Locked = False	
197	C:\IG\IG\PRE\FE.frm	Combo1_Click	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
198	C:\IG\IG\PRE\FE.frm	Combo1_Click	2	0	0	0.00%	0	0.00%	DiMalla	
199	C:\IG\IG\PRE\FE.frm	Combo1_Click	3	0	0	0.00%	0	0.00%	caca = True	
200	C:\IG\IG\PRE\FE.frm	Combo1_Click	4	0	0	0.00%	0	0.00%	Case Option1(0)	
201	C:\IG\IG\PRE\FE.frm	Combo1_Click	5	0	0	0.00%	0	0.00%	Text1(0) = Xi(1, Combo1.ListIndex + 1)	
202	C:\IG\IG\PRE\FE.frm	Combo1_Click	6	0	0	0.00%	0	0.00%	Text1(1) = Xi(2, Combo1.ListIndex + 1)	
203	C:\IG\IG\PRE\FE.frm	Combo1_Click	7	0	0	0.00%	0	0.00%	Picture1.Line (XU(Xi(1, Combo1.ListIndex + 1) + 1), YV(2))-(XU(Xi(2, Combo1.ListIndex + 1) + 2), YV(	
204	C:\IG\IG\PRE\FE.frm	Combo1_Click	8	0	0	0.00%	0	0.00%	Case Option1(1)	
205	C:\IG\IG\PRE\FE.frm	Combo1_Click	9	0	0	0.00%	0	0.00%	Text1(0) = Yi(1, Combo1.ListIndex + 1)	
206	C:\IG\IG\PRE\FE.frm	Combo1_Click	10	0	0	0.00%	0	0.00%	Text1(1) = Yi(2, Combo1.ListIndex + 1)	
207	C:\IG\IG\PRE\FE.frm	Combo1_Click	11	0	0	0.00%	0	0.00%	Picture1.Line (XU(2), YV(Yi(1, Combo1.ListIndex + 1) + 1))-(XU(2), YV(Yi(2, Combo1.ListIndex + 1) + 	
208	C:\IG\IG\PRE\FE.frm	Option2_Click	8	0	0	0.00%	0	0.00%	Case Option1(1)	
209	C:\IG\IG\PRE\FE.frm	Check1_Click	4	0	0	0.00%	0	0.00%	Frame3.Enabled = (Check1 = vbChecked)	
210	C:\IG\IG\PRE\FCF.frm	Check1_Click	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
211	C:\IG\IG\PRE\FBorrar.frm	Text1_Change	3	0	0	0.00%	0	0.00%	S(Index, VScroll1) = Val(Text1(Index))	
212	C:\IG\IG\PRE\FBorrar.frm	VScroll1_Change	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
213	C:\IG\IG\PRE\FBorrar.frm	VScroll1_Change	2	0	0	0.00%	0	0.00%	If VScroll1 = 0 Then	
